word,count,source_terms,sources,sample_context,normalization
ħanżir,2,haniir,IMG_3224.HEIC,haniir | 11-haniir,mapped
ħares,8,Hares,IMG_3205.HEIC; IMG_3207.HEIC; IMG_3209.HEIC; IMG_3212.HEIC; IMG_3222.HEIC; IMG_3228.HEIC,Hares lejn I-istampa u ikteb jekk hux veru jew falz. | Hares lejn I-istampa u ikteb il-kelma t-tajba. | Hares lejn I-istam i u imla l-,mapped
ħass,3,hass; il-hass,IMG_3228.HEIC,hass | hass | Lara thobb il-hass.,mapped
ħaxix,7,haxix; I-haxix; il-haxix,IMG_3216.HEIC; IMG_3220.HEIC; IMG_3225.HEIC; IMG_3228.HEIC,il-haxix. | 1. Pinéi erba' f juri fuq il-haxix | fuq il-haxix | 11-haxix | 11-haxix | ninsab fil-weraq u I-haxix.,mapped
ħdejn,1,hdejn,1 - 0001.tif,"quddiem (in front), wara (behind), faééata (opposite), hdejn",mapped
ħin,1,I-hin,1 - 0009.tif,Kollha kemm Ghna niehdu pjaär nilaghbu u nqattghu I-hin mal-annimali,mapped
ħuta,4,huta,IMG_3199.HEIC; IMG_3223.HEIC; Untitled.pdf,huta | 11-huta tghum fl-akkwarju. | huta,mapped
ħuti,3,huti,Untitled.pdf,Dawn huma huti. | Huti huma | 4. Huti jisimhom,mapped
ħwejjeġ,7,hweJeg; hwejjeé; Tal-hwejeg; tal-hwejjeé,1 - 0005.tif; 1 - 0006.tif; IMG_3204.HEIC; IMG_3210.HEIC; IMG_3211.HEIC; IMG_3212.HEIC,"ilbes hwejjeé isahhnu, | 11-hwejjeé li nilbsu | 11-hwejjeé li nilbsu | hweJeg | Baske+ Tal-hwejeg",mapped
żarbun,5,arbun; iarbun,IMG_3200.HEIC; IMG_3202.HEIC; IMG_3212.HEIC; IMG_3230.HEIC,iarbun | iarbun | iarbun | —IZ=2arbun | safra u kalzetti blu. 1±-±arbun tieghu,mapped
żewġ,3,ewé,IMG_3205.HEIC; IMG_3225.HEIC,1. Hemm ±ewé pultruni f is-salott. | 3.11-mamd qed iééorr ±ewé platti. | 2. Pinéi ±ewé hnie±er,mapped
